EMPLOYEE_ID,PERSON_TYPE,PERSON_STATUS,DEPARTMENT_NAME,JOB_FUNCTION,JOB_TITLE,CAREER_BAND,LEGAL_ENTITY_NAME,DIVISION_NAME,BUSINESS_SEGMENT,INDUSTRY_FOCUS_NAME,GE_HIRE_DATE,LOCATION_NAME,CITY,STATE_NAME,COUNTRY_NAME,COUNTRY,FUNCTION_GROUP
2163707601,EMPLOYEE,A,AVI ENG-SVS-Services LEAP 1A C Systems,Engineering/Technology,Staff Engineer - Mechanical Component,SPB,GENERAL ELECTRIC INTERNATIONAL,,,,,,,,,,
9225331209,EMPLOYEE,A,AVI SAL-Staff,Sales,Senior Executive - Regional Sales,SEB,GENERAL ELECTRIC INTERNATIONAL OPERATIONS COMPANY - TC DUBAI INTERNET CITY,AVI SAL-Staff,Aviation Sales & Marketing,GE Aviation,8/22/06 0:00,Dubai AE 1,Dubai,Dubai,United Arab Emirates,AE,Commercial
9777696464,EMPLOYEE,A,AVI SVS-MS-Regional,Services,Lead Warehouse & Logistics Operations Specialist,LPB,GENERAL ELECTRIC INTERNATIONAL,,,,,,,,,,
8893235549,EMPLOYEE,A,AVI FIN-BGA&IS-Unison POL,Finance,Manufacturing Operations Finance Manager,LPB,UNISON ENGINE COMPONENTS POLAND SP ZOO,AVI FIN-Business & General Aviation & Integrated Systems,Aviation Finance,GE Aviation,9/1/03 0:00,Dzierzoniow (Unis)PL,Dzierzoniow,Lower Silesian,Poland,PL,Enabling
1310142434,EMPLOYEE,I,AVI SC-CR-Engine Component Repair,Engineering/Technology,Senior Engineering Section Manager - Engineering Operations ,SPB,GE AVIATION HUNGARY KFT.,AVI SC-Component Repair,Aviation Supply Chain,GE Aviation,9/4/00 0:00,Veresegyhaz(GET) HU,Veresegyhaz,Pest,Hungary,HU,Production
8714002494,EMPLOYEE,A,PWR PS-PL-Engineering AERO,Engineering/Technology,Lead Engineer - Service Engineering,,GE POWER NETHERLANDS B.V.,PWR PS-Product Lines,Power Power Services,GE Power,,Arnhem NL 1,Arnhem,,,NL,
7789245279,EMPLOYEE,A,AVI ENG-ATO-Systems Design & Technologies,Engineering/Technology,Advanced Lead Engineer - Mechanical Component,LPB,GENERAL ELECTRIC COMPANY,AVI ENG-Advanced Technology Operations,Aviation Engineering,GE Aviation,3/13/06 0:00,Evendale OH US,Evendale,Ohio,United States,US,Production
8791973875,EMPLOYEE,A,AVI ENG-BEC IND-GE90 GP,Engineering/Technology,Staff Engineer - Fleet Management,SPB,GE INDIA INDUSTRIAL PVT LTD,AVI ENG-Bangalore Engineering Center India,Aviation Engineering,GE Aviation,7/2/07 0:00,Bangalore (JFWTC) IN,Bengaluru,Karnataka,India,IN,Production
406796017,EMPLOYEE,A,AVI SAL-Commercial Operations,Sales,Executive - Proposals,EB,GENERAL ELECTRIC INTERNATIONAL,,,,,,,,,,
7296648307,EMPLOYEE,A,AVI CEO-CPS-Commercial Field Service,Engineering/Technology,Sub-Section Manager - Fleet Management,SPB,GENERAL ELECTRIC INTERNATIONAL INC. - AVIATION (BRANCH),AVI CEO-Customer & Product Support,Aviation Commercial Engines,GE Aviation,6/27/10 0:00,Dubai AE 1,Dubai,Dubai,United Arab Emirates,AE,Production
9526104533,EMPLOYEE,I,AVI DIG-DSS-India,Digital Technology,Sr Staff Data Scientist,SPB,GE INDIA INDUSTRIAL PVT LTD,AVI DIG-Digital Service Solutions,Aviation Digital,GE Aviation,11/8/10 0:00,Bangalore (JFWTC) IN,Bengaluru,Karnataka,India,IN,Enabling
187153423,EMPLOYEE,A,OG OFE-SPS-Engineering,Engineering/Technology,Lead Engineer - Customer Project Engineering,,GE OIL & GAS,,,,,,,,,,
9796375671,EMPLOYEE,I,AVI ADS-AE-Interface & Controls,Engineering/Technology,Sr Lead Systems Engineer,LPB,GE AVIATION SYSTEMS LIMITED,AVI ADS-Avionics Engineering,Aviation Avionics & Digital Systems,GE Aviation,12/12/11 0:00,Cheltenham GB,Cheltenham,England,United Kingdom,GB,Production
