SHARED_INDICATION_NAME,SHARED_INDICATOR_APPLICATION,SHARED_INDICATOR_ACTIVITY,SHARED_INDICATOR_TYPE,SHARED_INDICATOR_SUFFIX,HEAT_VALUE,
App_1_Atomic_CD_Burn_2016_Q3,App_1,CD_Burn,Atomic,2016_Q3,N/A,
App_1_Atomic_CD_Burn_IND,App_1,CD_Burn,Atomic,IND,N/A,
App_1_Atomic_DVD_Burn_2016_Q3,App_1,DVD_Burn,Atomic,2016_Q3,N/A,
App_1_Atomic_Email_2016_Q3,App_1,Email,Atomic,2016_Q3,N/A,
App_1_Atomic_Email_PRE_2016_Q3,App_1,Email,Atomic,PRE_2016_Q3,N/A,
App_1_Atomic_Email_IND,App_1,Email,Atomic,IND,N/A,
App_1_Atomic_NTU_2016_Q3,App_1,NTU,Atomic,2016_Q3,N/A,
App_1_Atomic_NTU_IND,App_1,NTU,Atomic,IND,N/A,
App_1_Atomic_Print_2016_Q3,App_1,Print,Atomic,2016_Q3,N/A,
App_1_Atomic_Print_IND,App_1,Print,Atomic,IND,N/A,
App_1_Atomic_Terminal_2016_Q3,App_1,Terminal,Atomic,2016_Q3,N/A,
App_1_Atomic_Terminal_IND,App_1,Terminal,Atomic,IND,N/A,
App_1_Atomic_USB_2016_Q3,App_1,USB,Atomic,2016_Q3,N/A,
App_1_Atomic_USB_IND,App_1,USB,Atomic,IND,N/A,
App_1_Heat_Box_2016_Q3,App_1,Box,Heat,2016_Q3,5,
App_1_Heat_Box_PRE_2016_Q3,App_1,Box,Heat,PRE_2016_Q3,0,
App_1_Heat_Box_IND,App_1,Box,Heat,IND,1,
App_1_Heat_Box_2016_Q2,App_1,Box,Heat,2016_Q2,2,
App_1_Heat_CD_Burn_2016_Q3,App_1,CD_Burn,Heat,2016_Q3,5,
App_1_Heat_CD_Burn_PRE_2016_Q3,App_1,CD_Burn,Heat,PRE_2016_Q3,3,
App_1_Heat_CD_Burn_IND,App_1,CD_Burn,Heat,IND,3,
App_1_Heat_CD_Burn_2016_Q2,App_1,CD_Burn,Heat,2016_Q2,5,
App_1_Heat_Chrome_2016_Q3,App_1,Chrome,Heat,2016_Q3,5,
App_1_Heat_Chrome_PRE_2016_Q3,App_1,Chrome,Heat,PRE_2016_Q3,3,
App_1_Heat_DVD_Burn_2016_Q3,App_1,DVD_Burn,Heat,2016_Q3,5,
App_1_Heat_DVD_Burn_PRE_2016_Q3,App_1,DVD_Burn,Heat,PRE_2016_Q3,3,
App_1_Heat_Email_2016_Q3,App_1,Email,Heat,2016_Q3,5,
App_1_Heat_Email_PRE_2016_Q3,App_1,Email,Heat,PRE_2016_Q3,3,
App_1_Heat_Email_IND,App_1,Email,Heat,IND,3,
App_1_Heat_Email_2016_Q2,App_1,Email,Heat,2016_Q2,5,
App_1_Heat_NTU_2016_Q3,App_1,NTU,Heat,2016_Q3,5,
App_1_Heat_NTU_PRE_2016_Q3,App_1,NTU,Heat,PRE_2016_Q3,3,
App_1_Heat_NTU_IND,App_1,NTU,Heat,IND,3,
App_1_Heat_NTU_2016_Q2,App_1,NTU,Heat,2016_Q2,5,
App_1_Heat_Print_2016_Q3,App_1,Print,Heat,2016_Q3,5,
App_1_Heat_Print_PRE_2016_Q3,App_1,Print,Heat,PRE_2016_Q3,3,
App_1_Heat_Print_IND,App_1,Print,Heat,IND,3,
App_1_Heat_Print_2016_Q2,App_1,Print,Heat,2016_Q2,5,
App_1_Heat_Terminal_2016_Q3,App_1,Terminal,Heat,2016_Q3,5,
App_1_Heat_Terminal_PRE_2016_Q3,App_1,Terminal,Heat,PRE_2016_Q3,3,
App_1_Heat_Terminal_IND,App_1,Terminal,Heat,IND,1,
App_1_Heat_Terminal_2016_Q2,App_1,Terminal,Heat,2016_Q2,2,
App_1_Heat_USB_2016_Q3,App_1,USB,Heat,2016_Q3,5,
App_1_Heat_USB_PRE_2016_Q3,App_1,USB,Heat,PRE_2016_Q3,3,
App_1_Heat_USB_IND,App_1,USB,Heat,IND,3,
App_1_Heat_USB_2016_Q2,App_1,USB,Heat,2016_Q2,5,
App_10_Atomic_Access_IND,App_10,Access,Atomic,IND,N/A,
App_10_Threshold_Access_30_Day,App_10,Access,Threshold,30_Day,40,
App_10_Threshold_Access_7_Day,App_10,Access,Threshold,7_Day,50,
App_10_Threshold_Access_90_Day,App_10,Access,Threshold,90_Day,30,
App_11_Atomic_Access_Article,App_11,Access,Atomic,Article,N/A,
App_11_Atomic_Access_Request,App_11,Access,Atomic,Request,N/A,
App_11_Heat_Access_Restricted,App_11,Access,Heat,Restricted,1,
App_11_Heat_Access_Pool,App_11,Access,Heat,Pool,1,
App_11_Heat_Access_IPI,App_11,Access,Heat,IPI,1,
App_11_Threshold_Access_30_Day,App_11,Access,Threshold,30_Day,4,
App_11_Threshold_Access_10_Day,App_11,Access,Threshold,10_Day,5,
App_11_Threshold_Access_100_Day,App_11,Access,Threshold,100_Day,3,
App_11_Threshold_Access_30_Day,App_11,Access,Threshold,30_Day,4,
App_11_Threshold_Access_7_Day,App_11,Access,Threshold,7_Day,5,
App_11_Threshold_Access_90_Day,App_11,Access,Threshold,90_Day,3,
App_12_Atomic_App_Usage_IND,App_12,App_Usage,Atomic,IND,N/A,
App_12_Threshold_App_Usage_IND,App_12,App_Usage,Threshold,IND,N/A,
App_12_Threshold_App_Usage_30_Day,App_12,App_Usage,Threshold,30_Day,3,
App_12_Threshold_App_Usage_7_Day,App_12,App_Usage,Threshold,7_Day,4,
App_12_Threshold_App_Usage_90_Day,App_12,App_Usage,Threshold,90_Day,2,
App_13_Atomic_CD_Burn_IND,App_13,CD_Burn,Atomic,IND,N/A,
App_13_Atomic_DVD_Burn_IND,App_13,DVD_Burn,Atomic,IND,N/A,
App_13_Atomic_Email_IND,App_13,Email,Atomic,IND,N/A,
App_13_Atomic_NTU_IND,App_13,NTU,Atomic,IND,N/A,
App_13_Heat_Box_IND,App_13,Box,Heat,IND,5,
App_13_Heat_CD_Burn_IND,App_13,CD_Burn,Heat,IND,5,
App_13_Heat_Chrome_IND,App_13,Chrome,Heat,IND,3,
App_13_Heat_DVD_Burn_IND,App_13,DVD_Burn,Heat,IND,5,
App_13_Heat_Email_IND,App_13,Email,Heat,IND,5,
App_13_Heat_NTU_IND,App_13,NTU,Heat,IND,5,
App_13_Heat_Print_IND,App_13,Print,Heat,IND,20,
App_13_Heat_Terminal_IND,App_13,Terminal,Heat,IND,5,
App_13_Heat_USB_IND,App_13,USB,Heat,IND,5,
App_14_Heat_HR_IND,App_14,HR,Heat,IND,50,
App_14_Heat_Terminal_IND,App_14,Terminal,Heat,IND,10,
App_15_Heat_Badge_IND,App_15,Badge,Heat,IND,0,
App_15_Heat_Badge_MS,App_15,Badge,Heat,MS,0,
App_15_Threshold_Badge_IND,App_15,Badge,Threshold,IND,50,
App_15_Threshold_Badge_MS,App_15,Badge,Threshold,MS,50,
App_16_Threshold_Box_B,App_16,Box,Threshold,B,5,
App_16_Threshold_Box_A,App_16,Box,Threshold,A,3,
App_16_Threshold_Box_C,App_16,Box,Threshold,C,10,
App_17_Threshold_App_Usage_30_Day,App_17,App_Usage,Threshold,30_Day,40,
App_17_Threshold_App_Usage_7_Day,App_17,App_Usage,Threshold,7_Day,50,
App_17_Threshold_App_Usage_90_Day,App_17,App_Usage,Threshold,90_Day,30,
App_18_Heat_HR_IND,App_18,HR,Heat,IND,5,
App_19_Atomic_App_Usage_IND,App_19,App_Usage,Atomic,IND,N/A,
App_2_Heat_CD_Burn_NON_MIL,App_2,CD_Burn,Heat,NON_MIL,5,
App_2_Heat_CD_Burn_MIL,App_2,CD_Burn,Heat,MIL,5,
App_20_Threshold_App_Usage_30_Day,App_20,App_Usage,Threshold,30_Day,4,
App_20_Threshold_App_Usage_7_Day,App_20,App_Usage,Threshold,7_Day,5,
App_20_Threshold_App_Usage_90_Day,App_20,App_Usage,Threshold,90_Day,3,
App_21_Threshold_App_Usage_30_Day,App_21,App_Usage,Threshold,30_Day,4,
App_21_Threshold_App_Usage_7_Day,App_21,App_Usage,Threshold,7_Day,5,
App_21_Threshold_App_Usage_90_Day,App_21,App_Usage,Threshold,90_Day,3,
