employee_id,person_type,person_status,ge_hire_date,city,state_name,country_name,function_group,job_function,career_band,industry_focus_name
9225331209,EMPLOYEE,A,8/22/2006 0:00,Dubai,Dubai,United Arab Emirates,Commercial,JOB_FUNCTION_22,CAREER_BAND_9,BUSINESS_SEGMENT_2
9777696464,EMPLOYEE,A,3/1/2007 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_2
8893235549,EMPLOYEE,A,9/1/2003 0:00,Dzierzoniow,Lower Silesian,Poland,Enabling,JOB_FUNCTION_10,CAREER_BAND_4,BUSINESS_SEGMENT_2
1310142434,EMPLOYEE,I,9/4/2000 0:00,Veresegyhaz,Pest,Hungary,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_2
8714002494,EMPLOYEE,A,,Arnhem,,,,JOB_FUNCTION_7,CAREER_BAND_1,BUSINESS_SEGMENT_9
7789245279,EMPLOYEE,A,3/13/2006 0:00,Evendale,Ohio,United States,Production,JOB_FUNCTION_7,CAREER_BAND_4,BUSINESS_SEGMENT_2
8791973875,EMPLOYEE,A,7/2/2007 0:00,Bengaluru,Karnataka,India,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_2
406796017,EMPLOYEE,A,9/2/2007 0:00,Dubai,Dubai,United Arab Emirates,Commercial,JOB_FUNCTION_22,CAREER_BAND_2,BUSINESS_SEGMENT_2
7296648307,EMPLOYEE,A,6/27/2010 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_2
187153423,EMPLOYEE,A,,Luanda,,,,JOB_FUNCTION_7,CAREER_BAND_1,BUSINESS_SEGMENT_8
4680091097,EMPLOYEE,A,,Jandakot,,,,JOB_FUNCTION_25,CAREER_BAND_1,BUSINESS_SEGMENT_8
9678700500,EMPLOYEE,A,,Florence,,,,JOB_FUNCTION_25,CAREER_BAND_1,BUSINESS_SEGMENT_8
1199641807,EMPLOYEE,A,10/9/2008 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_2
8308090036,EMPLOYEE,A,4/8/1991 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_25,CAREER_BAND_3,BUSINESS_SEGMENT_2
10764068189,EMPLOYEE,A,9/16/1985 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_25,CAREER_BAND_3,BUSINESS_SEGMENT_2
4496621626,EMPLOYEE,A,8/7/1989 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_2
8308151731,EMPLOYEE,I,9/22/1980 0:00,Prestwick,Scotland,United Kingdom,Production,JOB_FUNCTION_24,CAREER_BAND_10,BUSINESS_SEGMENT_2
7279397731,EMPLOYEE,A,12/2/1991 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_16,CAREER_BAND_7,BUSINESS_SEGMENT_2
1238747477,EMPLOYEE,A,3/30/1992 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_3,BUSINESS_SEGMENT_2
3408307599,EMPLOYEE,A,3/15/1993 0:00,Dubai,Dubai,United Arab Emirates,Production,JOB_FUNCTION_16,CAREER_BAND_7,BUSINESS_SEGMENT_2
9212818634,EMPLOYEE,A,6/29/1999 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_16,CAREER_BAND_10,BUSINESS_SEGMENT_2
3408313879,EMPLOYEE,A,1/31/2000 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_7,CAREER_BAND_10,BUSINESS_SEGMENT_2
9212852158,EMPLOYEE,A,5/12/1997 0:00,Cardiff,Wales,United Kingdom,Production,JOB_FUNCTION_24,CAREER_BAND_4,BUSINESS_SEGMENT_2
