iter	Passed	Remaining
0	468	163529
1	871	151712
2	1273	147312
3	1709	147913
4	2045	141154
5	2443	140115
6	2823	138348
7	3230	138116
8	3601	136448
9	3990	135689
10	4412	135984
11	4815	135626
12	5176	134191
13	5539	132941
14	5894	131646
15	6319	131916
16	6712	131478
17	7156	131993
18	7567	131826
19	8033	132560
20	8448	132365
21	8891	132571
22	9250	131513
23	9717	131999
24	10154	132004
25	10589	131963
26	10817	129415
27	11239	129254
28	11671	129186
29	12373	131984
30	12823	131961
31	13257	131745
32	13691	131522
