,actual,LGBM
310498,150.0,150.60030131313943
423711,100.0,158.62062299151316
225719,192.0,244.62204378822378
118424,75.0,144.04710417238363
68085,138.0,176.00003105390056
180763,316.0,268.13640785959933
74073,170.0,193.84472130300477
84179,120.0,123.13036925904156
323577,300.0,304.3065075699511
312395,75.0,8.063063211629188
52015,152.5,144.06298258755342
145416,548.0,523.2709944094211
134953,200.0,194.0743413407299
363896,200.0,130.6801145003758
204207,235.2,216.59173294938432
330312,245.0,243.73547014672226
193022,343.0,422.9267997714953
307965,120.0,162.847733332419
147417,340.0,331.3181270392349
148894,449.75,422.67662710527827
1915,50.0,243.85938497471716
64409,235.0,222.4494646571892
215998,194.0,154.133328899798
329493,80.0,74.4828445699829
118150,75.0,165.24625813607784
125605,85.0,120.45400334074608
208254,250.0,218.79273428091324
4871,120.0,156.3856300659326
297789,0.0,1.630786600608618
365414,412.44,418.3085402614391
15768,240.0,168.56626972201295
64933,130.0,192.8780623167013
285525,0.0,-0.5099668827021244
159874,393.72,379.5662664011049
33157,130.0,136.63550592412966
423036,115.0,187.3811875605796
303864,477.5,485.71497920792245
72025,473.82,483.49595969872496
282059,125.0,163.09753176086764
262152,125.0,142.68371812166475
289090,175.0,222.1526777581129
246715,352.99,392.13509915141594
297526,0.0,3.7054271197780824
157419,173.84,151.44156163004993
187344,100.0,137.0679089521538
238829,185.0,183.5201168698627
396168,160.0,159.95412267541758
71038,178.0,192.55567712048762
349459,695.0,690.2600339962366
175803,350.0,331.2672260110359
66555,273.16,245.13336320145
26281,341.09,243.95115671075405
351525,390.3,386.15881443498813
19213,150.0,181.86281978967048
51153,442.24,425.3077252710329
260779,185.0,245.12363694059133
246609,77.0,140.0976932557198
337105,240.0,211.5075969316156
19841,298.0,294.73763750531305
387802,85.0,85.4428961209086
322294,150.0,143.2465458540203
57493,135.0,119.19993072666189
271972,505.0,492.2994505473002
120500,77.5,150.07455583152816
290768,143.96,135.8341894463852
245372,712.21,690.5542606681342
215606,200.0,155.86824617053574
298311,397.0,379.1189905467452
66178,300.0,172.82578840069493
294902,225.0,192.46905014260335
246657,200.0,171.15842949989937
147382,200.0,169.29816355060368
28672,212.5,310.0409002197504
200045,200.0,179.5091841701616
350035,200.0,175.1055242573419
29985,228.5,211.1143543401156
322791,69.0,72.1318132022613
107081,540.0,512.8817913466085
409889,0.0,-1.1122911277915974
149459,135.0,158.9342797628913
158490,250.0,224.2557043076254
410178,0.0,-0.6487155447396867
295786,225.0,156.63711168452284
159020,131.45,137.0621982460282
6080,127.5,132.4481432693729
340006,240.0,228.6064352075054
304565,195.0,363.3122485895684
414219,110.0,176.60713705372294
209971,250.0,233.98592051201297
